,document.name,document.creatingUser,document.creationDateTime,document.modifyingUser,document.modifiedDateTime,document.plainTextPath,document.richTextPath,document.guid,Annotator_1,Annotator_0,Annotator_2
34,C1KQHH5Fwt.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://DBA39930-5CD7-46DC-96E2-A0E2A1D1D8F7.txt,internal://A93CC0ED-4AAB-495C-996C-E565DD24D27C.docx,FCD6F68F-6B91-4337-8135-718FECD9BE9D,True,True,True
35,CGatxtFBB7.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://785CB111-ECCC-4307-8253-DFDC9464BE89.txt,internal://149D99AF-141E-458D-A83B-17E711D24227.docx,9B930F72-104D-40C4-B4F4-BE0DEE16AD97,True,True,True
36,Cc0mS3ewCT.txt,N/A,N/A,N/A,N/A,internal://8EFE57CF-772F-48FC-BF14-F659AA05E3C6.txt,internal://4807D385-D0EB-418F-B44B-26C53BF3E38D.docx,E6F107D2-E022-47B0-A246-38E3373517EC,True,True,False
37,CjFjRKVB8q.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://AB4BBBE7-8C26-44F5-9943-8B464518AA96.txt,internal://6F1F2F4B-0496-40CC-8E26-AB3C1BDC75AD.docx,4F171E10-7BB5-4BF2-9F6F-E2E6B2BFCD4B,True,True,True
38,D1a7om29AG.txt,N/A,N/A,N/A,N/A,internal://DD02B9DC-85D4-4DB0-94C7-55F0F30AF4A7.txt,internal://948E3B3B-C3F2-45FA-9D59-224209BBCE24.docx,50A920DC-0E3E-4B71-9E36-492C1469DE11,False,True,False
39,DRskphqiwF.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://0BF887AF-3C5D-4B59-9B5C-11A66875960E.txt,internal://D8A0B167-8FD4-4A2F-8E8A-B9F48DAB07C4.docx,2D85160F-A1FF-42CD-863A-ABBC1E4CE7DE,True,True,True
40,DV5GSIwytM.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://B189743A-9508-41D8-9B2C-612ADFE7ED55.txt,internal://92DE7A13-C102-410A-9B17-88F7B5DE0F0A.docx,F6C207E3-A9A1-478E-A828-CF75EECCB176,True,True,True
41,ExyaCTPzwB.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://D8939AF9-5E06-44DD-82C6-AE7E8802A16D.txt,internal://73949587-904C-4347-A4D5-9C8AAC60B529.docx,E776C1AA-6A3C-4E9D-8074-0381D7D5116D,True,True,True
42,FspyrMTF4O.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://BBD322B9-3B1A-4668-8C5B-F1F6FF448769.txt,internal://39FC5685-6329-47A6-AEA0-F744396DCE7A.docx,CF04AA02-D86C-42F4-8CFC-540F798577FA,True,True,True
43,GVkgvHvM5x.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://949ED492-1F1D-42D3-BE1B-C9FD3F7AC2DD.txt,internal://22D0B457-DB86-469E-A56B-0BD45F6C5699.docx,E39FD7A4-C63A-476A-B848-F9E505ED1333,True,True,True
